AIRLINE,MONTH,rank,DELAY_TYPE,DELAY
EV,Dec,4,ARRIVAL_DELAY,14.526077182937321
F9,Jan,3,ARRIVAL_DELAY,13.121295362903226
F9,Feb,1,ARRIVAL_DELAY,27.38053097345133
F9,Mar,1,ARRIVAL_DELAY,22.051816034767914
F9,Apr,1,ARRIVAL_DELAY,19.310611333329508
F9,May,2,ARRIVAL_DELAY,14.172379971600341
F9,Jun,2,ARRIVAL_DELAY,25.04665728453003
F9,Jul,2,ARRIVAL_DELAY,15.442493386243386
F9,Aug,4,ARRIVAL_DELAY,7.878243982366113
F9,Sep,3,ARRIVAL_DELAY,5.673122461159347
F9,Nov,1,ARRIVAL_DELAY,28.006493506493506
F9,Dec,5,ARRIVAL_DELAY,11.07055307255169
MQ,Jan,2,ARRIVAL_DELAY,21.637936672332753
MQ,Feb,2,ARRIVAL_DELAY,21.083601509463946
MQ,Mar,2,ARRIVAL_DELAY,11.607508706733856
MQ,Apr,4,ARRIVAL_DELAY,8.806341655273163
MQ,May,9,ARRIVAL_DELAY,2.969195027222587
MQ,Jun,9,ARRIVAL_DELAY,3.844802386728344
MQ,Jul,3,ARRIVAL_DELAY,13.247763810058055
MQ,Aug,2,ARRIVAL_DELAY,9.660943742550675
MQ,Sep,6,ARRIVAL_DELAY,-0.5945789884854454
MQ,Nov,10,ARRIVAL_DELAY,-3.19251002004008
NK,Jan,4,ARRIVAL_DELAY,11.322641577260866
NK,Feb,5,ARRIVAL_DELAY,8.603790279512019
NK,Mar,6,ARRIVAL_DELAY,6.747037037037037
NK,Apr,2,ARRIVAL_DELAY,13.492610837438423
NK,May,1,ARRIVAL_DELAY,24.7369629945142
NK,Jun,1,ARRIVAL_DELAY,38.68317825504854
NK,Jul,1,ARRIVAL_DELAY,20.287026333688306
NK,Aug,1,ARRIVAL_DELAY,24.62946322205072
NK,Sep,1,ARRIVAL_DELAY,19.79061686854197
NK,Nov,3,ARRIVAL_DELAY,9.225777709432016
NK,Dec,1,ARRIVAL_DELAY,20.659862294371536
OO,Jan,1,ARRIVAL_DELAY,31.58990723303341
OO,Feb,3,ARRIVAL_DELAY,17.79539413505515
OO,Mar,4,ARRIVAL_DELAY,10.610242627027224
OO,Apr,10,ARRIVAL_DELAY,2.114451925805536
OO,May,3,ARRIVAL_DELAY,11.445681779271919
OO,Jun,3,ARRIVAL_DELAY,15.241272581432657
OO,Jul,8,ARRIVAL_DELAY,6.95154388361168
OO,Aug,5,ARRIVAL_DELAY,6.134004953901687
OO,Sep,2,ARRIVAL_DELAY,6.072463768115942
OO,Nov,4,ARRIVAL_DELAY,7.858446290450279
OO,Dec,2,ARRIVAL_DELAY,18.59717045875238
UA,Jan,7,ARRIVAL_DELAY,6.133524316614288
UA,Feb,7,ARRIVAL_DELAY,6.367228558866128
UA,Mar,8,ARRIVAL_DELAY,6.1185372010790315
UA,Apr,5,ARRIVAL_DELAY,7.428341654329238
UA,May,5,ARRIVAL_DELAY,6.932285406820388
UA,Jun,4,ARRIVAL_DELAY,14.409946825143567
UA,Jul,4,ARRIVAL_DELAY,10.093299897119342
UA,Aug,7,ARRIVAL_DELAY,4.287921432842543
UA,Sep,7,ARRIVAL_DELAY,-1.5331811797752808
UA,Nov,7,ARRIVAL_DELAY,0.9429657794676806
UA,Dec,3,ARRIVAL_DELAY,15.915847788403369
US,Jan,8,ARRIVAL_DELAY,3.757061055365575
US,Feb,8,ARRIVAL_DELAY,5.607606006718241
